"filename", "language", "Vento", "SCSS", "TypeScript", "JavaScript", "Markdown", "Shell Script", "Go Module File", "YAML", "comment", "blank", "total"
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__.eleventy.js", "JavaScript", 0, 0, 0, 109, 0, 0, 0, 0, 29, 46, 184
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\cells.ts", "TypeScript", 0, 0, 273, 0, 0, 0, 0, 0, 287, 90, 650
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\global.ts", "TypeScript", 0, 0, 46, 0, 0, 0, 0, 0, 11, 23, 80
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\layers.ts", "TypeScript", 0, 0, 89, 0, 0, 0, 0, 0, 11, 35, 135
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\main.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 69, 72, 275
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\index.html", "Vento", 85, 0, 0, 0, 0, 0, 0, 0, 2, 19, 106
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 0, 50, 1, 178
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.scss", "SCSS", 0, 135, 0, 0, 0, 0, 0, 0, 36, 25, 196
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.ts", "TypeScript", 0, 0, 141, 0, 0, 0, 0, 0, 50, 41, 232
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_data\global.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\head.html", "Vento", 24, 0, 0, 0, 0, 0, 0, 0, 31, 17, 72
"c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\logo-text.html", "Vento", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
