Date : 2025-09-28 14:37:26
Directory : c:\Users\awa\Documents\coding\awasome-website-01
Total : 122 files,  11360 codes, 4095 comments, 2499 blanks, all 17954 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript     |         43 |      6,394 |      1,772 |        766 |      8,932 |
| TypeScript     |         34 |      3,102 |      1,689 |      1,191 |      5,982 |
| SCSS           |         25 |      1,271 |        428 |        360 |      2,059 |
| Vento          |         16 |        432 |        115 |        129 |        676 |
| Shell Script   |          1 |         74 |         33 |         23 |        130 |
| YAML           |          1 |         43 |          9 |          6 |         58 |
| Markdown       |          1 |         42 |         49 |         22 |        113 |
| Go Module File |          1 |          2 |          0 |          2 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |        122 |     11,360 |      4,095 |      2,499 |     17,954 |
| . (Files)                                                                                                |          1 |         42 |         49 |         22 |        113 |
| ._archevedued                                                                                            |         74 |      5,396 |      3,076 |      1,592 |     10,064 |
| ._archevedued (Files)                                                                                    |          7 |        318 |        246 |        189 |        753 |
| ._archevedued\__src                                                                                      |         20 |      1,350 |        594 |        374 |      2,318 |
| ._archevedued\__src (Files)                                                                              |          4 |        488 |        138 |         86 |        712 |
| ._archevedued\__src\awarium                                                                              |          4 |        542 |        378 |        220 |      1,140 |
| ._archevedued\__src\modules                                                                              |         12 |        320 |         78 |         68 |        466 |
| ._archevedued\__src\modules\_data                                                                        |          1 |          0 |          0 |          1 |          1 |
| ._archevedued\__src\modules\_includes                                                                    |          4 |         67 |         31 |         19 |        117 |
| ._archevedued\__src\modules\_styles                                                                      |          7 |        253 |         47 |         48 |        348 |
| ._archevedued\_src                                                                                       |          4 |        542 |        378 |        220 |      1,140 |
| ._archevedued\_src\pages                                                                                 |          4 |        542 |        378 |        220 |      1,140 |
| ._archevedued\_src\pages\awarium                                                                         |          4 |        542 |        378 |        220 |      1,140 |
| ._archevedued\awarium                                                                                    |         10 |      1,187 |        752 |        241 |      2,180 |
| ._archevedued\gamelooptest                                                                               |          3 |        198 |         29 |         75 |        302 |
| ._archevedued\go                                                                                         |          3 |        493 |         40 |         66 |        599 |
| ._archevedued\misc                                                                                       |         12 |        747 |        692 |        187 |      1,626 |
| ._archevedued\oldengine                                                                                  |         11 |        527 |        345 |        224 |      1,096 |
| ._archevedued\template                                                                                   |          4 |         34 |          0 |         16 |         50 |
| .github                                                                                                  |          1 |         43 |          9 |          6 |         58 |
| .github\workflows                                                                                        |          1 |         43 |          9 |          6 |         58 |
| engine                                                                                                   |         11 |      4,150 |        248 |        255 |      4,653 |
| scripts                                                                                                  |          3 |        158 |         47 |         43 |        248 |
| source                                                                                                   |         32 |      1,571 |        666 |        581 |      2,818 |
| source (Files)                                                                                           |          4 |        206 |         73 |        110 |        389 |
| source\_styles                                                                                           |          8 |        317 |        155 |        117 |        589 |
| source\_templates                                                                                        |          3 |         70 |          9 |         18 |         97 |
| source\awa-util                                                                                          |          5 |        361 |        131 |        136 |        628 |
| source\modules                                                                                           |          1 |         24 |          2 |          7 |         33 |
| source\modules\progressive_image_loading                                                                 |          1 |         24 |          2 |          7 |         33 |
| source\pages                                                                                             |         11 |        593 |        296 |        193 |      1,082 |
| source\pages (Files)                                                                                     |          1 |          7 |         45 |          7 |         59 |
| source\pages\color-preview                                                                               |          4 |         85 |         15 |         28 |        128 |
| source\pages\imagetotext                                                                                 |          3 |        478 |        225 |        143 |        846 |
| source\pages\templatepage                                                                                |          3 |         23 |         11 |         15 |         49 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                 | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__.eleventy.js                            | JavaScript     |        109 |         29 |         46 |        184 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\cells.ts                    | TypeScript     |        273 |        287 |         90 |        650 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\global.ts                   | TypeScript     |         46 |         11 |         23 |         80 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\layers.ts                   | TypeScript     |         89 |         11 |         35 |        135 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\awarium\main.ts                     | TypeScript     |        134 |         69 |         72 |        275 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\index.html                          | Vento          |         85 |          2 |         19 |        106 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.js                             | JavaScript     |        127 |         50 |          1 |        178 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.scss                           | SCSS           |        135 |         36 |         25 |        196 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\main.ts                             | TypeScript     |        141 |         50 |         41 |        232 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_data\global.js             | JavaScript     |          0 |          0 |          1 |          1 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\head.html         | Vento          |         24 |         31 |         17 |         72 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\logo-text.html    | Vento          |         16 |          0 |          0 |         16 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\theme-script.html | Vento          |         19 |          0 |          2 |         21 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_includes\theme-select.html | Vento          |          8 |          0 |          0 |          8 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_bundled.scss       | SCSS           |          6 |          1 |          1 |          8 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_colors.scss        | SCSS           |         80 |         25 |         18 |        123 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_fonts.scss         | SCSS           |         18 |          0 |          3 |         21 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_functions.scss     | SCSS           |         18 |          8 |         15 |         41 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_mixins.scss        | SCSS           |         23 |          3 |          4 |         30 |
| c:\Users\awa\Documents\coding\awasome-website-01\._archevedued\__src\modules\_styles\_reset.scss         | SCSS           |         50 |          6 |          2 |         58 |
