0020     SPACE
0021  !  EXCLAMATION MARK
0022  "  QUOTATION MARK
0023  #  NUMBER SIGN
0024  $  DOLLAR SIGN
0025  %  PERCENT SIGN
0026  &  AMPERSAND
0027  '  APOSTROPHE
0028  (  LEFT PARENTHESIS
0029  )  RIGHT PARENTHESIS
002A  *  ASTERISK
002B  +  PLUS SIGN
002C  ,  COMMA
002D  -  HYPHEN-MINUS
002E  .  FULL STOP
002F  /  SOLIDUS
0030  0  DIGIT ZERO
0031  1  DIGIT ONE
0032  2  DIGIT TWO
0033  3  DIGIT THREE
0034  4  DIGIT FOUR
0035  5  DIGIT FIVE
0036  6  DIGIT SIX
0037  7  DIGIT SEVEN
0038  8  DIGIT EIGHT
0039  9  DIGIT NINE
003A  :  COLON
003B  ;  SEMICOLON
003C  <  LESS-THAN SIGN
003D  =  EQUALS SIGN
003E  >  GREATER-THAN SIGN
003F  ?  QUESTION MARK
0040  @  COMMERCIAL AT
0041  A  LATIN CAPITAL LETTER A
0042  B  LATIN CAPITAL LETTER B
0043  C  LATIN CAPITAL LETTER C
0044  D  LATIN CAPITAL LETTER D
0045  E  LATIN CAPITAL LETTER E
0046  F  LATIN CAPITAL LETTER F
0047  G  LATIN CAPITAL LETTER G
0048  H  LATIN CAPITAL LETTER H
0049  I  LATIN CAPITAL LETTER I
004A  J  LATIN CAPITAL LETTER J
004B  K  LATIN CAPITAL LETTER K
004C  L  LATIN CAPITAL LETTER L
004D  M  LATIN CAPITAL LETTER M
004E  N  LATIN CAPITAL LETTER N
004F  O  LATIN CAPITAL LETTER O
0050  P  LATIN CAPITAL LETTER P
0051  Q  LATIN CAPITAL LETTER Q
0052  R  LATIN CAPITAL LETTER R
0053  S  LATIN CAPITAL LETTER S
0054  T  LATIN CAPITAL LETTER T
0055  U  LATIN CAPITAL LETTER U
0056  V  LATIN CAPITAL LETTER V
0057  W  LATIN CAPITAL LETTER W
0058  X  LATIN CAPITAL LETTER X
0059  Y  LATIN CAPITAL LETTER Y
005A  Z  LATIN CAPITAL LETTER Z
005B  [  LEFT SQUARE BRACKET
005C  \  REVERSE SOLIDUS
005D  ]  RIGHT SQUARE BRACKET
005E  ^  CIRCUMFLEX ACCENT
005F  _  LOW LINE
0060  `  GRAVE ACCENT
0061  a  LATIN SMALL LETTER A
0062  b  LATIN SMALL LETTER B
0063  c  LATIN SMALL LETTER C
0064  d  LATIN SMALL LETTER D
0065  e  LATIN SMALL LETTER E
0066  f  LATIN SMALL LETTER F
0067  g  LATIN SMALL LETTER G
0068  h  LATIN SMALL LETTER H
0069  i  LATIN SMALL LETTER I
006A  j  LATIN SMALL LETTER J
